AT5G17310	AT3G06500
AT4G12740	AT2G31450
AT2G01980	AT1G08960
AT4G23850	AT4G00360
AT5G13360	AT1G17345
AT2G45210	AT1G43040
AT5G42010	AT5G19280
AT5G11750	AT2G36620
AT4G33230	AT1G11370
AT5G60040	AT3G23780
AT2G17380	AT1G14010
AT4G26430	AT1G61110
AT5G16590	AT3G28450
AT4G22110	AT1G32780
ATMG00665	AT2G07687
AT5G05000	AT1G02280
AT4G28050	AT2G39780
AT4G26530	AT3G25960
AT5G21326	AT4G38740
AT4G18640	AT3G13065
AT3G43800	AT1G10370
AT3G06700	AT2G44860
AT1G28520	AT1G21970
ATMG01320	ATCG01090
ATMG01120	ATMG00070
AT5G65220	AT5G23900
AT2G36570	AT1G75820
AT4G23340	AT4G21200
ATCG00420	AT2G46505
AT4G28640	AT4G22620
AT1G12240	AT1G09780
AT5G16580	AT3G62740
AT5G01430	AT2G38360
AT5G64530	AT5G17260
AT1G06310	AT1G06290
AT2G23810	AT1G79230
AT2G31082	AT1G66145
AT4G20270	AT3G28040
AT5G51610	AT4G39880
AT4G33355	AT2G10940
AT5G17990	AT1G24909
AT4G20280	AT3G18090
AT3G15720	AT1G23200
AT2G32100	AT1G50640
AT4G12530	AT2G18370
AT3G45290	AT2G17480
AT3G25860	AT1G24180
AT5G57090	AT4G36760
AT1G55730	AT1G08960
AT3G54050	AT2G45290
AT4G13000	AT1G56720
AT4G29940	AT1G28300
AT3G13390	AT1G75790
AT3G19820	AT2G22830
AT2G28970	AT2G24230
AT3G53040	AT1G30610
AT4G26870	AT3G11710
AT5G57190	AT2G47240
AT4G34440	AT3G61160
AT4G12030	AT3G53260
AT3G17850	AT1G09020
AT5G64530	AT1G66620
AT3G24550	AT2G30040
AT4G27540	AT1G03950
AT5G49520	AT1G56170
AT4G33950	AT1G18890
AT5G42140	AT3G43230
AT3G10950	AT1G24240
AT2G27060	AT1G50610
AT5G62190	AT5G44200
AT4G29230	AT3G25290
AT4G23500	AT3G62110
AT5G20854	AT1G72340
AT5G22240	AT1G74660
AT5G37930	AT1G54330
AT5G03406	AT1G17960
AT4G13760	AT3G47040
AT3G57510	AT2G23900
AT4G22520	AT3G53980
AT4G37980	AT3G02570
AT3G55500	AT1G26770
AT5G03740	AT3G52540
AT3G46370	AT2G24230
AT4G37870	AT1G20020
AT5G64530	AT5G39610
AT5G57740	AT3G54850
AT4G31877	AT3G51375
AT4G13790	AT3G12955
AT4G14342	AT4G03430
AT4G38130	AT2G36050
AT4G32370	AT2G43890
AT3G09810	AT1G53240
AT4G15200	AT2G29890
AT2G30880	AT1G65380
AT2G22240	AT1G29430
AT4G18640	AT2G45340
AT4G20410	AT4G20110
AT1G69670	AT1G02980
AT3G23050	AT3G03850
AT3G10780	AT3G01340
AT3G11820	AT1G10730
AT3G08590	AT1G12900
AT3G14350	AT2G36570
AT3G62100	AT3G12830
AT5G20490	AT2G31900
AT3G53990	AT2G21620
AT5G01330	AT3G22960
AT3G45650	AT1G72120
AT4G02280	AT1G72000
AT5G48230	AT1G76490
AT5G26830	AT3G11710
AT5G06460	AT5G02880
AT5G18110	AT3G16380
AT3G24140	AT1G32770
AT5G39340	AT1G19050
AT3G43230	AT1G48870
AT2G27060	AT1G53730
AT5G64760	AT4G24820
AT1G29590	AT1G26630
AT1G72000	AT1G47840
AT5G66850	AT5G54380
AT3G62760	AT2G30860
AT5G44840	AT3G47050
AT4G01710	AT2G33385
AT3G25717	AT2G39705
AT5G13930	AT5G07990
AT3G44820	AT1G67900
AT2G15450	AT1G23190
AT5G54760	AT3G11400
AT4G20110	AT1G75850
AT5G27520	AT5G01340
AT3G13525	AT1G19376
AT5G13380	AT5G10990
AT5G38210	AT1G11440
AT3G25930	AT2G36270
AT4G28490	AT4G03260
AT1G65910	AT1G34180
AT5G64060	AT1G65910
AT5G18010	AT3G17600
AT5G04360	AT3G15720
AT4G32660	AT2G39660
AT5G16910	AT2G03220
AT3G53250	AT2G22240
AT2G42210	AT1G17530
AT3G27740	AT1G75330
AT3G13672	AT1G01720
AT3G61160	AT1G65800
AT1G32060	AT1G06020
AT5G13160	AT4G23250
AT2G27050	AT1G28370
AT4G22340	AT3G11430
AT5G52160	AT1G73550
AT5G53950	AT4G17980
AT1G29420	AT1G04250
AT4G18640	AT1G31420
AT5G13350	AT3G03847
AT4G14110	AT2G26990
AT4G27780	AT3G51600
AT3G14310	AT1G05310
AT2G01140	AT1G31330
AT2G30870	AT2G29420
AT3G27380	AT2G07687
AT2G36450	AT1G45249
AT5G65310	AT2G46770
AT1G16980	AT1G06410
AT4G23500	AT2G28420
AT4G24570	AT1G14140
AT5G49720	AT1G71380
AT3G01600	AT1G66620
AT3G21630	AT1G15240
AT2G33860	AT1G44350
AT5G59290	AT1G22430
AT5G35980	AT3G22850
AT4G18180	AT2G26620
AT5G49770	AT2G02780
AT2G24400	AT1G04100
AT5G57420	AT3G15540
AT4G37050	AT2G21230
AT4G05160	AT1G17420
AT5G52340	AT3G14090
AT1G13440	AT1G09000
AT5G64140	AT5G46420
ATMG00513	AT5G13430
AT4G25290	AT3G23580
AT5G60660	AT2G45200
AT5G16570	AT4G35260
AT2G17380	AT1G56590
AT5G42740	AT5G03690
AT2G28790	AT1G20030
AT4G28640	AT1G15580
AT5G37910	AT1G61110
AT1G69320	AT1G20110
AT5G53090	AT3G18400
AT5G03310	AT4G34790
AT3G55650	AT1G32060
AT3G22960	AT1G56190
